iter	RMSE
0	9874.856696
1	9732.964447
2	9577.500853
3	9442.17309
4	9300.685342
5	9172.612542
6	9046.181054
7	8892.086861
8	8751.254848
9	8624.876596
10	8512.658987
11	8390.799824
12	8283.876003
13	8172.080588
14	8046.993245
15	7931.211299
16	7829.347905
17	7729.648235
18	7630.871664
19	7531.279452
20	7427.138479
21	7335.584693
22	7245.421903
23	7143.791546
24	7049.157392
25	6963.02281
26	6883.920626
27	6791.922244
28	6710.047815
29	6624.29272
30	6540.51167
31	6456.735553
32	6389.648256
33	6316.577358
34	6246.047145
35	6172.365198
36	6116.821724
37	6052.663226
38	5978.565317
39	5910.26971
40	5856.463457
41	5783.629235
42	5725.553608
43	5662.377571
44	5597.621219
45	5538.131632
46	5480.913369
47	5433.44293
48	5379.363538
49	5323.217185
50	5269.996702
51	5217.395528
52	5170.55929
53	5126.073122
54	5081.373481
55	5042.923363
56	4991.50191
57	4952.202132
58	4905.571702
59	4867.495196
60	4825.297213
61	4789.447521
62	4750.387501
63	4714.042838
64	4676.126623
65	4633.114101
66	4597.539242
67	4561.478334
68	4528.260806
69	4499.020505
70	4467.05267
71	4433.504593
72	4401.064584
73	4364.512068
74	4333.9413
75	4307.226503
76	4278.980125
77	4249.070512
78	4224.527317
79	4199.105138
80	4173.190031
81	4148.022544
82	4118.910173
83	4094.594721
84	4067.89282
85	4037.436776
86	4014.92005
87	3990.194371
88	3966.989638
89	3944.788817
90	3922.546777
91	3898.704848
92	3873.407634
93	3845.872667
94	3819.929637
95	3794.774905
96	3772.184883
97	3753.54021
98	3730.486802
99	3710.335261
100	3690.828486
101	3669.442434
102	3652.2997
103	3634.451393
104	3615.202742
105	3596.587383
106	3575.313736
107	3554.583887
108	3533.197481
109	3516.057792
110	3501.670218
111	3485.931983
112	3466.415845
113	3449.89569
114	3429.871108
115	3410.305696
116	3392.74977
117	3380.219534
118	3365.742409
119	3352.71794
120	3335.100433
121	3319.635145
122	3307.133281
123	3290.948602
124	3279.234707
125	3266.956566
126	3254.841649
127	3237.922733
128	3222.80366
129	3208.918126
130	3195.736249
131	3184.352055
132	3172.953978
133	3162.285656
134	3149.292769
135	3134.66389
136	3116.849526
137	3107.363413
138	3095.103646
139	3080.089554
140	3071.052581
141	3055.600378
142	3041.842659
143	3027.723738
144	3017.605029
145	3004.306677
146	2996.056289
147	2979.458243
148	2968.940785
149	2954.884317
150	2944.660804
151	2935.033127
152	2925.768058
153	2911.418168
154	2901.785268
155	2893.466427
156	2882.685039
157	2874.201172
158	2866.892358
159	2857.188555
160	2847.465501
161	2837.263437
162	2828.485265
163	2817.658141
164	2810.570302
165	2802.040635
166	2791.828177
167	2779.453698
168	2771.529113
169	2762.148445
170	2750.792337
171	2740.398359
172	2728.336574
173	2718.62321
174	2708.801367
175	2698.98387
176	2683.995262
177	2677.388106
178	2664.096519
179	2655.876444
180	2646.924245
181	2638.383427
182	2628.270853
183	2620.300401
184	2611.758212
185	2604.087073
186	2593.441892
187	2586.646008
188	2579.999844
189	2573.040249
190	2565.892236
191	2555.61267
192	2548.116963
193	2540.273631
194	2531.281487
195	2527.052534
196	2516.27585
197	2506.672697
198	2497.339372
199	2490.140052
200	2484.120664
201	2478.195943
202	2470.775142
203	2462.112289
204	2456.323738
205	2447.296829
206	2441.509064
207	2436.126409
208	2427.89478
209	2419.208933
210	2412.125915
211	2401.954227
212	2392.155369
213	2381.026896
214	2370.865934
215	2366.684959
216	2361.77176
217	2355.052822
218	2349.60151
219	2341.726862
220	2336.308474
221	2331.411454
222	2326.393108
223	2321.400248
224	2314.982741
225	2309.964803
226	2304.626154
227	2299.367874
228	2294.459265
229	2288.508752
230	2281.337756
231	2273.501925
232	2266.473512
233	2261.839669
234	2255.324482
235	2251.570277
236	2246.517557
237	2239.880365
